"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_attack_speed_slow"           "ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_move_speed_slow"             "MOVE SPEED SLOW:"
		"DOTA_Tooltip_ability_item_towering_shield_of_athena_slow_duration"               "SLOW DURATION:"

		"DOTA_Tooltip_ability_item_tome_int_3_Int"                                       	"INT:"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_INT_3"												"Tome of Intellect +3"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_INT_3_Description"									"Add +3 INT to your states."
		"DOTA_Tooltip_ability_item_tome_int_6_Int"                                        	"INT:"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_INT_6"												"Tome of Intellect +6"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_INT_6_Description"									"Add +6 INT to your states."
		
		"DOTA_Tooltip_ability_item_tome_agi_3_Agi"                                        	"AGI:"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_AGI_3"												"Tome of Agility +3"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_AGI_3_Description"									"Add +3 AGI to your states."
		"DOTA_Tooltip_ability_item_tome_agi_6_Agi"                                        	"AGI:"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_AGI_6"												"Tome of Agility +6"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_AGI_6_Description"									"Add +6 AGI to your states."
		
		"DOTA_Tooltip_ability_item_tome_str_3_Str"                                        	"STR:"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_STR_3"												"Tome of Strength +3"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_STR_3_Description"									"Add +3 STR to your states."
		"DOTA_Tooltip_ability_item_tome_str_6_Str"                                        	"STR:"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_STR_6"												"Tome of Strength +6"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_STR_6_Description"									"Add +6 STR to your states."
		
		"DOTA_Tooltip_ability_item_heroes_hauberk"                                         "Heroes Hauberk"
		"DOTA_Tooltip_ability_item_heroes_hauberk_Description"                             "درع الأبطال"
		"DOTA_Tooltip_ability_item_heroes_hauberk_armor_bonus"                             "ARMOR BONUS:"

		"DOTA_Tooltip_ability_item_high_oracles_robes"                                    "High Oracles Robes"
		"DOTA_Tooltip_ability_item_high_oracles_robes_Description"                        ""
		"DOTA_Tooltip_ability_item_high_oracles_robes_armor_bonus"                        "ARMOR BONUS:"
		"DOTA_Tooltip_ability_item_high_oracles_robes_int_bonus"                          "INT BONUS:"
		"DOTA_Tooltip_ability_item_high_oracles_robes_mana_regen"                         "MANA REGEN:"

		"DOTA_Tooltip_ability_item_high_oracles_staff"                                    "High Oracles Staff"
		"DOTA_Tooltip_ability_item_high_oracles_staff_Description"                        ""
		"DOTA_Tooltip_ability_item_high_oracles_staff_int_bonus"                          "INT BONUS:"

		"DOTA_Tooltip_ability_item_high_shamans_staff"                                    "High Shamans Staff"
		"DOTA_Tooltip_ability_item_high_shamans_staff_Description"                        ""
		"DOTA_Tooltip_ability_item_high_shamans_staff_int_bonus"                          "INT BONUS:"
		"DOTA_Tooltip_ability_item_high_shamans_staff_mana_regen"                         "MANA REGEN:"

		"DOTA_Tooltip_ability_item_horn_of_the_hallowed_one"                              "Horn Of The Hallowed One"
		"DOTA_Tooltip_ability_item_horn_of_the_hallowed_one_Description"                  ""
		"DOTA_Tooltip_ability_item_horn_of_the_hallowed_one_stat_bonus"                   "STAT BONUS:"
		"DOTA_Tooltip_ability_item_horn_of_the_hallowed_one_attack_speed"                 "ATTACK SPEED:"
		"DOTA_Tooltip_ability_item_horn_of_the_hallowed_one_dmg_bonus"                    "DMG BONUS:"

		"DOTA_Tooltip_ability_item_hunting_spear_of_artemis"                              "Hunting Spear Of Artemis"
		"DOTA_Tooltip_ability_item_hunting_spear_of_artemis_Description"                  ""
		"DOTA_Tooltip_ability_item_hunting_spear_of_artemis_stat_bonus"                   "STAT BONUS:"
		"DOTA_Tooltip_ability_item_hunting_spear_of_artemis_dmg_bonus"                    "DMG BONUS:"
		"DOTA_Tooltip_ability_item_hunting_spear_of_artemis_attack_speed"                 "ATTACK SPEED:"

		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus"                          "Immortal Armor Of Hephaestus"
		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus_Description"              ""
		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus_bonus_all_stats"          "BONUS ALL STATS:"
		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus_bonus_armor"              "BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus_bonus_power"              "BONUS POWER:"
		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus_liferegen_total"          "LIFEREGEN TOTAL:"
		"DOTA_Tooltip_ability_item_immortal_armor_of_hephaestus_mana_per_second"          "MANA PER SECOND:"
		

		"DOTA_TOOLTIP_ABILITY_ITEM_BAG_OF_GOLD"											"BAG OF GOLD"

		
		"DOTA_Tooltip_ability_item_alzafer_blade"										"Alzafer Blade"
		"DOTA_Tooltip_ability_item_alzafer_blade_Description"							"<font color='#ffd100'>Item Level 15</font>\n<font color='#nFFFFFF'>Since time immemorial term there was someone named Said Alzafer, making blade of the best raw materials in the seven kingdoms. This was the curse blade in existence.</font>"
		"DOTA_Tooltip_ability_item_alzafer_blade_agi_bonus"								"<font color='#22FF00'>AGI BONUS:</font>"
		"DOTA_Tooltip_ability_item_alzafer_blade_dmg_bonus"								"<font color='#22FF00'>DMG BONUS:</font>"
		"DOTA_Tooltip_ability_item_alzafer_blade_mana_regen"							"<font color='#22FF00'>MANA REGEN:</font>"

		"DOTA_Tooltip_ability_item_cloak_of_manza"										"Cloak Of Manza"
		"DOTA_Tooltip_ability_item_cloak_of_manza_Description"							"<font color='#ffd100'>Item Level 19</font>\n<font color='#nFFFFFF'>Lady Manza seven convoys in the Kingdom of Sultan Ahmed in the desert old, heirs  cloth cut from ore is very rare, discovered that this cloth back to the dynasty blue genie</font>"
		"DOTA_Tooltip_ability_item_cloak_of_manza_agi_bonus"							"<font color='#22FF00'>AGI BONUS:</font>"
		"DOTA_Tooltip_ability_item_cloak_of_manza_armor_bonus"							"<font color='#22FF00'>ARMOR BONUS:</font>"
		"DOTA_Tooltip_ability_item_cloak_of_manza_hp_bonus"								"<font color='#22FF00'>HP BONUS:</font>"
		"DOTA_Tooltip_ability_item_cloak_of_manza_mana_bonus"							"<font color='#22FF00'>MANA BONUS:</font>"
		
		"DOTA_Tooltip_ability_item_potion_of_minor_healing"                               "Potion Of Minor Healing"
		"DOTA_Tooltip_ability_item_potion_of_minor_healing_Description"                   ""
		"DOTA_Tooltip_ability_item_potion_of_minor_healing_heal_amount"                   "HEAL AMOUNT:"

		"DOTA_Tooltip_ability_item_potion_of_minor_mana"                                  "Potion Of Minor Mana"
		"DOTA_Tooltip_ability_item_potion_of_minor_mana_Description"                      ""
		"DOTA_Tooltip_ability_item_potion_of_minor_mana_mana_restored"                    "MANA RESTORED:"

		"DOTA_Tooltip_ability_item_potion_of_lesser_healing"                              "Potion Of Lesser Healing"
		"DOTA_Tooltip_ability_item_potion_of_lesser_healing_Description"                  ""
		"DOTA_Tooltip_ability_item_potion_of_lesser_healing_heal_amount"                  "HEAL AMOUNT:"

		"DOTA_Tooltip_ability_item_potion_of_lesser_mana"                                 "Potion Of Lesser Mana"
		"DOTA_Tooltip_ability_item_potion_of_lesser_mana_Description"                     ""
		"DOTA_Tooltip_ability_item_potion_of_lesser_mana_mana_restored"                   "MANA RESTORED:"

		"DOTA_Tooltip_ability_item_potion_of_lesser_regeneration"                         "Potion Of Lesser Regeneration"
		"DOTA_Tooltip_ability_item_potion_of_lesser_regeneration_Description"             ""
		"DOTA_Tooltip_ability_item_potion_of_lesser_regeneration_health_per_second"       "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_potion_of_lesser_regeneration_duration"                "DURATION:"
		"DOTA_Tooltip_ability_item_potion_of_lesser_regeneration_duration_minutes"        "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_potion_of_healing"                                     "Potion Of Healing"
		"DOTA_Tooltip_ability_item_potion_of_healing_Description"                         ""
		"DOTA_Tooltip_ability_item_potion_of_healing_heal_amount"                         "HEAL AMOUNT:"

		"DOTA_Tooltip_ability_item_potion_of_mana"                                        "Potion Of Mana"
		"DOTA_Tooltip_ability_item_potion_of_mana_Description"                            ""
		"DOTA_Tooltip_ability_item_potion_of_mana_mana_restored"                          "MANA RESTORED:"

		"DOTA_Tooltip_ability_item_potion_of_regeneration"                                "Potion Of Regeneration"
		"DOTA_Tooltip_ability_item_potion_of_regeneration_Description"                    ""
		"DOTA_Tooltip_ability_item_potion_of_regeneration_health_per_second"              "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_potion_of_regeneration_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_item_potion_of_regeneration_duration_minutes"               "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_potion_of_greater_healing"                             "Potion Of Greater Healing"
		"DOTA_Tooltip_ability_item_potion_of_greater_healing_Description"                 ""
		"DOTA_Tooltip_ability_item_potion_of_greater_healing_heal_amount"                 "HEAL AMOUNT:"

		"DOTA_Tooltip_ability_item_potion_of_greater_mana"                                "Potion Of Greater Mana"
		"DOTA_Tooltip_ability_item_potion_of_greater_mana_Description"                    ""
		"DOTA_Tooltip_ability_item_potion_of_greater_mana_mana_restored"                  "MANA RESTORED:"

		"DOTA_Tooltip_ability_item_potion_of_greater_regeneration"                        "Potion Of Greater Regeneration"
		"DOTA_Tooltip_ability_item_potion_of_greater_regeneration_Description"            ""
		"DOTA_Tooltip_ability_item_potion_of_greater_regeneration_health_per_second"      "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_potion_of_greater_regeneration_duration"               "DURATION:"
		"DOTA_Tooltip_ability_item_potion_of_greater_regeneration_duration_minutes"       "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_potion_of_super_healing"                               "Potion Of Super Healing"
		"DOTA_Tooltip_ability_item_potion_of_super_healing_Description"                   ""
		"DOTA_Tooltip_ability_item_potion_of_super_healing_heal_amount"                   "HEAL AMOUNT:"

		"DOTA_Tooltip_ability_item_potion_of_super_mana"                                  "Potion Of Super Mana"
		"DOTA_Tooltip_ability_item_potion_of_super_mana_Description"                      ""
		"DOTA_Tooltip_ability_item_potion_of_super_mana_mana_restored"                    "MANA RESTORED:"

		"DOTA_Tooltip_ability_item_potion_of_super_regeneration"                          "Potion Of Super Regeneration"
		"DOTA_Tooltip_ability_item_potion_of_super_regeneration_Description"              ""
		"DOTA_Tooltip_ability_item_potion_of_super_regeneration_health_per_second"        "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_potion_of_super_regeneration_duration"                 "DURATION:"
		"DOTA_Tooltip_ability_item_potion_of_super_regeneration_duration_minutes"         "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_potion_of_mega_healing"                                "Potion Of Mega Healing"
		"DOTA_Tooltip_ability_item_potion_of_mega_healing_Description"                    ""
		"DOTA_Tooltip_ability_item_potion_of_mega_healing_heal_amount"                    "HEAL AMOUNT:"

		"DOTA_Tooltip_ability_item_potion_of_mega_mana"                                   "Potion Of Mega Mana"
		"DOTA_Tooltip_ability_item_potion_of_mega_mana_Description"                       ""
		"DOTA_Tooltip_ability_item_potion_of_mega_mana_mana_restored"                     "MANA RESTORED:"

		"DOTA_Tooltip_ability_item_potion_of_mega_regeneration"                           "Potion Of Mega Regeneration"
		"DOTA_Tooltip_ability_item_potion_of_mega_regeneration_Description"               ""
		"DOTA_Tooltip_ability_item_potion_of_mega_regeneration_health_per_second"         "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_potion_of_mega_regeneration_duration"                  "DURATION:"
		"DOTA_Tooltip_ability_item_potion_of_mega_regeneration_duration_minutes"          "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_lesser_agility"                              "Elixir Of Lesser Agility"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_agility_Description"                  ""
		"DOTA_Tooltip_ability_item_elixir_of_lesser_agility_bonus_agility"                "BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_agility_duration"                     "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_agility_duration_minutes"             "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_lesser_intelligence"                         "Elixir Of Lesser Intelligence"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_intelligence_Description"             ""
		"DOTA_Tooltip_ability_item_elixir_of_lesser_intelligence_bonus_intelligence"      "BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_intelligence_duration"                "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_intelligence_duration_minutes"        "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_lesser_strength"                             "Elixir Of Lesser Strength"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_strength_Description"                 ""
		"DOTA_Tooltip_ability_item_elixir_of_lesser_strength_bonus_strength"              "BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_strength_duration"                    "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_lesser_strength_duration_minutes"            "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_agility"                                     "Elixir Of Agility"
		"DOTA_Tooltip_ability_item_elixir_of_agility_Description"                         ""
		"DOTA_Tooltip_ability_item_elixir_of_agility_bonus_agility"                       "BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_elixir_of_agility_duration"                            "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_agility_duration_minutes"                    "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_intelligence"                                "Elixir Of Intelligence"
		"DOTA_Tooltip_ability_item_elixir_of_intelligence_Description"                    ""
		"DOTA_Tooltip_ability_item_elixir_of_intelligence_bonus_intelligence"             "BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_elixir_of_intelligence_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_intelligence_duration_minutes"               "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_strength"                                    "Elixir Of Strength"
		"DOTA_Tooltip_ability_item_elixir_of_strength_Description"                        ""
		"DOTA_Tooltip_ability_item_elixir_of_strength_bonus_strength"                     "BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_elixir_of_strength_duration"                           "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_strength_duration_minutes"                   "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_greater_agility"                             "Elixir Of Greater Agility"
		"DOTA_Tooltip_ability_item_elixir_of_greater_agility_Description"                 ""
		"DOTA_Tooltip_ability_item_elixir_of_greater_agility_bonus_agility"               "BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_elixir_of_greater_agility_duration"                    "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_greater_agility_duration_minutes"            "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_greater_intelligence"                        "Elixir Of Greater Intelligence"
		"DOTA_Tooltip_ability_item_elixir_of_greater_intelligence_Description"            ""
		"DOTA_Tooltip_ability_item_elixir_of_greater_intelligence_bonus_intelligence"     "BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_elixir_of_greater_intelligence_duration"               "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_greater_intelligence_duration_minutes"       "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_greater_strength"                            "Elixir Of Greater Strength"
		"DOTA_Tooltip_ability_item_elixir_of_greater_strength_Description"                ""
		"DOTA_Tooltip_ability_item_elixir_of_greater_strength_bonus_strength"             "BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_elixir_of_greater_strength_duration"                   "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_greater_strength_duration_minutes"           "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_super_agility"                               "Elixir Of Super Agility"
		"DOTA_Tooltip_ability_item_elixir_of_super_agility_Description"                   ""
		"DOTA_Tooltip_ability_item_elixir_of_super_agility_bonus_agility"                 "BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_elixir_of_super_agility_duration"                      "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_super_agility_duration_minutes"              "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_super_intelligence"                          "Elixir Of Super Intelligence"
		"DOTA_Tooltip_ability_item_elixir_of_super_intelligence_Description"              ""
		"DOTA_Tooltip_ability_item_elixir_of_super_intelligence_bonus_intelligence"       "BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_elixir_of_super_intelligence_duration"                 "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_super_intelligence_duration_minutes"         "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_super_strength"                              "Elixir Of Super Strength"
		"DOTA_Tooltip_ability_item_elixir_of_super_strength_Description"                  ""
		"DOTA_Tooltip_ability_item_elixir_of_super_strength_bonus_strength"               "BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_elixir_of_super_strength_duration"                     "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_super_strength_duration_minutes"             "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_mega_agility"                                "Elixir Of Mega Agility"
		"DOTA_Tooltip_ability_item_elixir_of_mega_agility_Description"                    ""
		"DOTA_Tooltip_ability_item_elixir_of_mega_agility_bonus_agility"                  "BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_elixir_of_mega_agility_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_mega_agility_duration_minutes"               "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_mega_intelligence"                           "Elixir Of Mega Intelligence"
		"DOTA_Tooltip_ability_item_elixir_of_mega_intelligence_Description"               ""
		"DOTA_Tooltip_ability_item_elixir_of_mega_intelligence_bonus_intelligence"        "BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_elixir_of_mega_intelligence_duration"                  "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_mega_intelligence_duration_minutes"          "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_elixir_of_mega_strength"                               "Elixir Of Mega Strength"
		"DOTA_Tooltip_ability_item_elixir_of_mega_strength_Description"                   ""
		"DOTA_Tooltip_ability_item_elixir_of_mega_strength_bonus_strength"                "BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_elixir_of_mega_strength_duration"                      "DURATION:"
		"DOTA_Tooltip_ability_item_elixir_of_mega_strength_duration_minutes"              "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_speed"                                       "Scroll Of Speed"
		"DOTA_Tooltip_ability_item_scroll_of_speed_Description"                           ""
		"DOTA_Tooltip_ability_item_scroll_of_speed_bonus_movespeed_pct"                   "BONUS MOVESPEED PCT:"
		"DOTA_Tooltip_ability_item_scroll_of_speed_radius"                                "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_speed_duration"                              "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_speed_duration_minutes"                      "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_the_beast"                                   "Scroll Of The Beast"
		"DOTA_Tooltip_ability_item_scroll_of_the_beast_Description"                       ""
		"DOTA_Tooltip_ability_item_scroll_of_the_beast_bonus_damage_pct"                  "BONUS DAMAGE PCT:"
		"DOTA_Tooltip_ability_item_scroll_of_the_beast_radius"                            "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_the_beast_duration"                          "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_the_beast_duration_minutes"                  "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_lesser_regeneration"                         "Scroll Of Lesser Regeneration"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_regeneration_Description"             ""
		"DOTA_Tooltip_ability_item_scroll_of_lesser_regeneration_health_per_second"       "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_regeneration_radius"                  "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_regeneration_duration"                "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_regeneration_duration_minutes"        "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_regeneration"                                "Scroll Of Regeneration"
		"DOTA_Tooltip_ability_item_scroll_of_regeneration_Description"                    ""
		"DOTA_Tooltip_ability_item_scroll_of_regeneration_health_per_second"              "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_scroll_of_regeneration_radius"                         "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_regeneration_duration"                       "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_regeneration_duration_minutes"               "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_greater_regeneration"                        "Scroll Of Greater Regeneration"
		"DOTA_Tooltip_ability_item_scroll_of_greater_regeneration_Description"            ""
		"DOTA_Tooltip_ability_item_scroll_of_greater_regeneration_health_per_second"      "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_scroll_of_greater_regeneration_radius"                 "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_greater_regeneration_duration"               "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_greater_regeneration_duration_minutes"       "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_super_regeneration"                          "Scroll Of Super Regeneration"
		"DOTA_Tooltip_ability_item_scroll_of_super_regeneration_Description"              ""
		"DOTA_Tooltip_ability_item_scroll_of_super_regeneration_health_per_second"        "HEALTH PER SECOND:"
		"DOTA_Tooltip_ability_item_scroll_of_super_regeneration_radius"                   "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_super_regeneration_duration"                 "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_super_regeneration_duration_minutes"         "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_protection"                                  "Scroll Of Protection"
		"DOTA_Tooltip_ability_item_scroll_of_protection_Description"                      ""
		"DOTA_Tooltip_ability_item_scroll_of_protection_bonus_armor"                      "BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_scroll_of_protection_radius"                           "RADIUS:"
		"DOTA_Tooltip_ability_item_scroll_of_protection_duration"                         "DURATION:"
		"DOTA_Tooltip_ability_item_scroll_of_protection_duration_minutes"                 "DURATION MINUTES:"

		"DOTA_Tooltip_ability_item_scroll_of_lesser_healing"                              "Scroll Of Lesser Healing"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_healing_Description"                  ""
		"DOTA_Tooltip_ability_item_scroll_of_lesser_healing_health_restored"              "HEALTH RESTORED:"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_healing_radius"                       "RADIUS:"

		"DOTA_Tooltip_ability_item_scroll_of_healing"                                     "Scroll Of Healing"
		"DOTA_Tooltip_ability_item_scroll_of_healing_Description"                         ""
		"DOTA_Tooltip_ability_item_scroll_of_healing_health_restored"                     "HEALTH RESTORED:"
		"DOTA_Tooltip_ability_item_scroll_of_healing_radius"                              "RADIUS:"

		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana"                                 "Scroll Of Lesser Mana"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana_Description"                     ""
		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana_mana_restored"                   "MANA RESTORED:"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana_radius"                          "RADIUS:"

		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana"                                 "Scroll Of Lesser Mana"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana_Description"                     ""
		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana_mana_restored"                   "MANA RESTORED:"
		"DOTA_Tooltip_ability_item_scroll_of_lesser_mana_radius"                          "RADIUS:"
		
		"DOTA_Tooltip_ability_item_heros_blade"                                           "Heros Blade"
		"DOTA_Tooltip_ability_item_heros_blade_Description"                               "Give you %dmg_bonus% and a chance of %bonus_chance%%% to crit %bonus_chance_damage% plus a good %bonus_strenght% STR"
		"DOTA_Tooltip_ability_item_heros_blade_dmg_bonus"                                 "<font color='#22FF00'>DMG BONUS:</font>"
		"DOTA_Tooltip_ability_item_heros_blade_bonus_chance"                              "<font color='#22FF00'>BONUS CHANCE:</font>"
		"DOTA_Tooltip_ability_item_heros_blade_bonus_chance_damage"                       "<font color='#22FF00'>BONUS CHANCE DAMAGE:</font>"
		"DOTA_Tooltip_ability_item_heros_blade_bonus_strenght"                            "<font color='#22FF00'>STR</font> +"
		
		"DOTA_Tooltip_ability_item_massacre_sword"                                        "Massacre Sword"
		"DOTA_Tooltip_ability_item_massacre_sword_Description"                            "<font color='#ffd100'>Item Level 14</font>\n<font color='#nFFFFFF'>Blood of dead forged this sword. Gives you %dmg_bonus% damage and a chance of %bonus_chance%%% to Crit %bonus_chance_damage% Damage, give you also a good +%bonus_strenght% STR</font>"
		"DOTA_Tooltip_ability_item_massacre_sword_bonus_strenght"                         "+$str"
		"DOTA_Tooltip_ability_item_massacre_sword_dmg_bonus"                              "Bonus damage:"
		"DOTA_Tooltip_ability_item_massacre_sword_bonus_chance"                           "Critical chance:"
		"DOTA_Tooltip_ability_item_massacre_sword_bonus_chance_damage"                    "Critical chance damage:"

		"DOTA_Tooltip_ability_item_recipe_massacre_sword"                                 "Recipe Massacre Sword"
		"DOTA_Tooltip_ability_item_recipe_massacre_sword_Description"                     "Forge the blood sword!"
		
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate"                                "Chestguard Of Ill Fate"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_Description"                    "<font color='#ffd100'>Item Level 30</font>\n<font color='#nFFFFFF'>The certain death of unlucky one. give you +%stat_bonus% to all your stats with %hp_bonus%HP and super %mana_regen%%% mana regen. Blocking %block_dmg% damage and Wonderful +%armor_bonus% armor.</font>"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_Lore"                           "Need Recipe World Drop"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_stat_bonus"                     "<font color='#22FF00'>All Stats</font> +"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_hp_bonus"                       "<font color='#22FF00'>HP Bonus:</font>"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_mana_regen"                     "<font color='#22FF00'>Mana Regeneration:</font>"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_armor_bonus"                    "<font color='#22FF00'>Armor Bonus:</font>"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_block_dmg"                      "<font color='#22FF00'>Block Phy.Damage:</font>"
		"DOTA_Tooltip_ability_item_chestguard_of_ill_fate_hp_regen"                       "<font color='#22FF00'>HP Regeneration:</font>"

		"DOTA_Tooltip_ability_item_recipe_chestguard_of_ill_fate"                         "Recipe Chestguard Of Ill Fate"
		"DOTA_Tooltip_ability_item_recipe_chestguard_of_ill_fate_Description"             "mery mery mery..."
		
		"DOTA_Tooltip_ability_item_iron_will_of_hephaestus"                               "Iron Will Of Hephaestus"
		"DOTA_Tooltip_ability_item_iron_will_of_hephaestus_Description"                   ""
		"DOTA_Tooltip_ability_item_iron_will_of_hephaestus_armor_bonus"                   "ARMOR BONUS:"
